Detector;Time;qPKW;vPKW
scdot_0071_0w;0;1016;60
scdot_0071_0e;0;3196;60
scdot_0124_0e;0;898;60
scdot_0124_0w;0;1989;60
scdot_0031_0w;0;986;60
scdot_0031_0e;0;1913;61
scdot_0034_0w;0;826;62
scdot_0034_0e;0;1509;63
scdot_0090_0w;0;491;64
scdot_0090_0e;0;478;65
scdot_0007_0s;0;537;66
scdot_0007_0n;0;377;67
scdot_0006_0s;0;192;68
scdot_0006_0n;0;142;69
scdot_0071_0w;60;2583;60
scdot_0071_0e;60;4583;60
scdot_0124_0e;60;3129;60
scdot_0124_0w;60;4020;60
scdot_0031_0w;60;2037;60
scdot_0031_0e;60;4165;61
scdot_0034_0w;60;2389;62
scdot_0034_0e;60;3210;63
scdot_0090_0w;60;1352;64
scdot_0090_0e;60;1425;65
scdot_0007_0s;60;1694;66
scdot_0007_0n;60;1337;67
scdot_0006_0s;60;549;68
scdot_0006_0n;60;486;69
